0.05	5.25 4.26956281914983 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.26956281914983 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.30842198490352 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.26956281914983 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.26956281914983 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.30842198490352 1.75 1.75 8879 NA NA 1 1 1 1
0.05	5.25 4.30842198490352 1.75 1.75 NA NA NA 0 0 NA NA
0.05	4.5 4.5 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.26956281914983 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.05	5.25 4.25 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.25 1.5 1.5 NA NA NA 0 0 NA NA
0.05	5.25 4.30842198490352 1.75 1.75 7437.5 NA NA 1 1 1 1
0.05	5.25 4.30842198490352 1.75 1.75 7439 NA NA 1 1 1 1
0.05	5.25 4.26956281914983 1.75 1.75 7182.5 NA NA 1 1 1 1
0.05	5.25 4.26956281914983 1.75 1.75 8082.5 NA NA 1 1 1 1
0.05	5.25 4.30842198490352 1.75 1.75 7179 NA NA 1 1 1 1
0.05	5.25 4.26956281914983 1.75 1.75 8032 NA NA 1 1 1 1
0.05	5 4.33973885543051 1.75 1.75 NA NA NA 0 0 NA NA
0.05	5 4.33973885543051 1.5 1.5 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 2 1.68325082306035 4228 609 1054.81894180945 3 0 1 0
0.75	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 1.75 1.75 4925.5 0 0 2 0 1 0
0.75	5.25 4.26956281914983 2 1.68325082306035 4961 NA NA 1 0 1 0
0.75	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 2 1.68325082306035 3374.16666666667 66.3333333333333 114.892703568736 3 0 1 0
0.75	5.25 4.26956281914983 1.75 1.75 2596.5 0 0 2 0 1 0
0.75	5.25 4.26956281914983 2 1.68325082306035 3468.66666666667 106.166666666667 183.886060736896 3 0 1 0
0.75	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 2 1.68325082306035 3407.83333333333 199.833333333333 346.121486379181 3 0 1 0
0.75	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 1.75 1.75 3662 0 0 2 0 1 0
0.75	5.25 4.26956281914983 2 1.68325082306035 4318.66666666667 786.833333333333 1362.83531042211 3 2 1 0.666666666666667
0.75	5.25 4.26956281914983 1.75 1.75 8451.5 0 0 2 2 1 1
0.75	5.25 4.26956281914983 1.75 1.75 3781.5 0 0 2 0 1 0
0.75	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 1.75 1.75 NA NA NA 0 0 NA NA
0.75	5.25 4.26956281914983 1.75 1.75 3904.5 0 0 2 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3554.16666666667 94.8333333333333 164.256151584449 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3374.83333333333 16.1666666666667 28.0014880556968 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3114.33333333333 554.166666666667 959.844822527753 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3457.5 311.5 539.533826557705 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3051.5 270.5 468.519743447381 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3007.33333333333 299.333333333333 518.460541732284 3 0 1 0
1.95	5.25 4.26956281914983 2.25 1.93110503770941 3301.5 91.5 158.482648892552 3 0 1 0
1.95	5.25 4.26956281914983 2.25 1.93110503770941 2905.33333333333 249.833333333333 432.724026757625 3 0 1 0
1.95	5.25 4.26956281914983 2.25 1.93110503770941 3370.16666666667 247.333333333333 428.393899738702 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3013.66666666667 99.3333333333333 172.050380218508 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3294.5 58 100.458946838995 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 4556.16666666667 1127.33333333333 1952.59861039931 3 2 1 0.666666666666667
1.95	5.25 4.26956281914983 2 1.68325082306035 3449.66666666667 191.833333333333 332.26507991863 3 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3033.5 36 62.3538290724796 3 0 1 0
1.95	5.25 4.26956281914983 1.75 1.75 3885 0 0 2 0 1 0
1.95	5.25 4.26956281914983 2 1.68325082306035 3202.33333333333 19.3333333333333 33.4863156129983 3 0 1 0
