0.05	4.25 3.06526235962492 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 3.06526235962492 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.65753645318366 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 3.06526235962492 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.28673712233537 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.71952814534679 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.92617497767991 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.28673712233537 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.62599187609812 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.39356776939085 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.05	4.25 2.28673712233537 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.75	4.25 2.98258836136221 1 0.408248290463863 4580 607 1051.35484019431 3 2 1 0.666666666666667
0.75	4.25 2.98258836136221 1 0.408248290463863 4474.83333333333 505.166666666667 874.974332956878 3 0 1 0
0.75	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.75	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.75	4.25 2.98258836136221 1 0.408248290463863 5299.33333333333 1444.16666666667 2501.37004126405 3 2 1 0.666666666666667
0.75	4.25 2.98258836136221 1 0.408248290463863 3666.5 NA NA 1 0 1 0
0.75	4.25 2.98258836136221 1 0.408248290463863 3260 NA NA 1 0 1 0
0.75	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.75	4.25 2.98258836136221 0.75 0.478713553878169 3814.5 0 0 2 0 1 0
0.75	4.25 2.98258836136221 1 0.408248290463863 4453.5 NA NA 1 0 1 0
0.75	4.25 2.98258836136221 1 0.408248290463863 3104.5 NA NA 1 0 1 0
0.75	4.25 2.98258836136221 0.75 0.478713553878169 NA NA NA 0 0 NA NA
0.75	4.25 2.98258836136221 1 0.408248290463863 3253.5 NA NA 1 0 1 0
